towerdb owner,identification - site key,identification - code,identification - fl,position - site name,identification - other mno fl,position - macro region,position - region,position - municipality,position - address,position - latitude,position - longitude,category - categorization by transmission sys (subcluster),category - categorization by site type,column1,category - categorisation by inhabitants,other - ownership,other - status,column2,column3,column4,column5,column6,column7,column8,column9,column10,lease contract - current annual lease fee,lease contract - lease contract comment,column11,column12,column13,column14,tenants - anchor,tenants - vf - ran sharing,tenants - vf - passive,tenants - wind - ran sharing,tenants - wind - passive,tenants - cosmote - passive,tenants - ran sharing tenants,tenants - passive tenants,tenants - non-mno tenants,tenants - non-mno tenant name,tenants - total tenants,column15,ee - no. of 24hr generators,ee - no. of standby generators,kpi - sites,kpi - tenants,msa - bts/replacement,msa - bts commitment site,column16,infrastructure type - technology,infrastructure type - fibre / microwave,infrastructure type - floor space,infrastructure type - tower height,column17,notified-97 (gr use only),changes (gr use only),msa - billing trigger stop date,other - indoor vs outdoor,skylon - category,msa - standard configuration,msa - construction type,msa - hub sites total mw diameter,bp - consolidated classification,msa - critical site,sensitive - due to,sensitive - description,sensitive - department,notified - department,notified - due to,msa - sensitive,msa - notified,notified - status,notified - details,msa - rectifier,msa - battery,msa - aircon,msa - revenue generating,msa - date of decommissioning,flag indicating bts site,msa - billing trigger date,msa - dg-shelter,msa - critical site in excess of the 15.5% cap,msa - form of active sharing,msa - start date for active sharing arrangement,msa - end date for active sharing arrangement,column18,msa - rfai date,msa - site acceptance date,msa - sub-lease reason,msa - sub-lease applies,msa - date of equipment removal (vf),msa - date of equipment removal (wh)
Vodafone,100-3019323,100,3019323,AGIOI ANARGYROI,218903,???????,??????? ????? ??????,????? ????????? - ?????????,"?????????? 54 & ????????,???.??????? ????? ?????????",38.04426111,23.72918889,Macro,Rooftop,,Heavy Urban,Collocation_VF_Own,Planned,,,,,,,,,,20761.32,,,,,,1,0,0,0,1,0,0,1,0,,2,,0,0,0,0,,No,,2g,Mw,,,,,,,,RTT,Macro_3-Sector,Rooftop,,RTT,No,,,,,,No,No,,,No,No,No,0,,Yes,9/9/9999,No,No,,,,,,,,Yes,,
Vodafone,1003-3011524,1003,3011524,GERAKAS SOUTH,116004,???????,?????????? ???????,??????,"?????????? 33, ???????",38.02676111,23.85641389,Macro,Rooftop,,Heavy Urban,Shared_VF_Own,In Service,,,,,,,,,,22252.92,,,,,,1,0,0,1,0,0,1,0,0,,2,,0,0,1,1,,No,,2g/3g/4g,Fo,6,2.4,,,,,Indoor,RTT,Macro_3-Sector,Rooftop,,RTT,No,,,,,,No,No,,,Yes,Yes,Yes,1,,No,17/11/2020,No,No,MORAN,17/11/2020,,,,,,Yes,,
Vodafone,1005-2001005,1005,2001005,YMITTOS SOUTH,,???????,????????? ????? ??????,???????,"???? ""Radar"", ???? ???????, ???????\????????? ????? ??????\???????",37.93926111,23.80363056,Transmission Site,Greenfield,,Heavy Urban,Standalone,In Service,,,,,,,,,,0,No lease - Forest,,,,,1,0,0,0,0,0,0,0,0,,1,,0,1,1,1,,No,,No Radio,Mw,30.5,30,,,,,Indoor,GBT,Transmission Site,Greenfield,,Transmission Site,No,,,,,,No,No,,,Yes,Yes,Yes,1,,No,17/11/2020,No,No,,,,,,,Forestal,No,,
Vodafone,1005-3011513,1005,3011513,ANDROY ANO LIOSSIA,,???????,??????? ???????,??? ???????,???. ???????????? (????? ??????) 33 & ?????????,38.08509722,23.69002222,Macro,Rooftop,,Heavy Urban,Standalone,In Service,,,,,,,,,,9559.56,,,,,,1,0,0,0,0,0,0,0,0,,1,,0,0,1,1,,No,,2g/3g,Mw,8.16,3.16,,,,,Outdoor,RTT,Macro_3-Sector,Rooftop,,RTT,No,,,,,,No,No,,,No,No,Yes,1,,No,17/11/2020,No,No,,,,,,,,Yes,,
Vodafone,1008-2001008,1008,2001008,????? TOWER,,???????,????????? ????? ??????,????????,"????. ????????? 2-4, ??????????? (?????? ??????)",37.98481667,23.760575,Macro,Rooftop,,Heavy Urban,Standalone,In Service,,,,,,,,,,262649.52,,,,,,1,0,0,0,0,0,0,0,0,,1,,0,1,1,1,,No,,2g/3g/4g,Fo,0,8,,,,,Indoor,RTT,Transmission Hub Site_4-sector,Rooftop,<09,Special,Yes,,,,,,No,No,,,Yes,Yes,Yes,1,,No,17/11/2020,No,No,,,,,,,,Yes,,
Vodafone,1009-3011416,1009,3011416,ILEKTRAS AHARNES,,???????,?????????? ???????,???????,"???????? (????? ??????) 11, ???????? ???????? (?? 2589)",38.10148333,23.74918889,Macro,Rooftop,,Heavy Urban,Standalone,In Service,,,,,,,,,,17314.2,,,,,,1,0,0,0,0,0,0,0,0,,1,,0,0,1,1,,No,,2g/3g/4g,Mw,5.2,5,,,,,Outdoor,RTT,Macro_3-Sector,Rooftop,,RTT,No,,,,,,No,No,,,No,No,No,1,,No,17/11/2020,No,No,,,,,,,,Yes,,
Vodafone,101-1002102,101,1002102,????????,A00301,????????? ??????????,????????????,?????,?' ???? (??????? 979/980) ?.?.??????????,40.65731389,22.869225,Macro,Greenfield,,Heavy Urban,Shared_VF_Own,In Service,,,,,,,,,,0,No lease - VF offices,,,,,1,0,0,1,0,0,1,0,0,,2,,0,0,1,1,,No,,2g/3g/4g,Fo,12.5,30,,,,,Indoor,GBT,Macro_4-sector,Greenfield,,GBT,No,,,,,,No,No,,,No,No,No,1,,No,17/11/2020,No,No,MORAN,17/11/2020,,,,,,Yes,,
Vodafone,1011-3010468,1011,3010468,ARGOS ORESTIKO CNR,,??????? ??????????,?????????,?????????,"?????????? 2 & ???????????, ????? ????????",40.45039444,21.26277778,Macro,Rooftop,,Urban,Standalone,In Service,,,,,,,,,,7601.52,,,,,,1,0,0,0,0,0,0,0,0,,1,,0,0,1,1,,No,,2g/3g/4g,Mw,8,4.75,,,,,Indoor,RTT,Macro_3-Sector,Rooftop,,RTT,No,,,,,,No,No,,,No,No,No,1,,No,17/11/2020,No,No,,,,,,,,Yes,,
Vodafone,1012-2001012,1012,2001012,???? ??????? -??????????,,???????,????????,??????????,"???? ""??????????"", ?????? ??????????",37.995375,23.63085,Macro,Greenfield,,Heavy Urban,Standalone,In Service,,,,,,,,,,0,No lease - Forest,,,,,1,0,0,0,0,0,0,0,0,,1,,0,1,1,1,,No,,2g,Fo,22.5,30,,,,,Indoor,GBT,Transmission Hub Site_3-Sector,Greenfield,<09,GBT,Yes,,,,,,No,No,,,Yes,Yes,Yes,1,,No,17/11/2020,No,No,,,,,,,Forestal,No,,
Vodafone,1016-3010634,1016,3010634,SERVIA KOZANIS,494201,??????? ??????????,???????,???????,"1o ???. ???????-??????? (??????. # 1448), ??????",40.18510833,21.99140556,Macro,Rooftop,,Urban,Shared_VF_Own,In Service,,,,,,,,,,30098.1408,,,,,,1,0,0,1,0,0,1,0,0,,2,,0,0,1,1,,No,,2g/3g,Mw,4,4.3,,,,,Outdoor,RTT,Macro_3-Sector,Rooftop,,Special,No,,,,,,No,No,,,No,No,No,1,,No,17/11/2020,No,No,MORAN,17/11/2020,,,,,,Yes,,
